Order ID,Order Date,Product Category,Product Name,Region,Sales,Profit,Quantity,Customer Segment
CA-2025-100771,2024-01-01,Furniture,Adjustable Side Table,North,221.81,-3.9,3,Home Office
CA-2024-100267,2024-01-02,Technology,Dell XPS 13 Laptop,East,6906.49,1640.53,7,Consumer
CA-2025-100474,2024-01-03,Technology,Dell XPS 13 Laptop,South,5871.19,1621.62,6,Consumer
CA-2024-100472,2024-01-03,Technology,Anker USB-C Hub,North,336.3,89.18,8,Corporate
CA-2025-100011,2024-01-03,Furniture,5-Shelf Bookshelf,North,1134.58,-53.27,8,Home Office
CA-2024-100188,2024-01-03,Furniture,5-Shelf Bookshelf,North,449.79,-24.66,3,Consumer
CA-2024-100571,2024-01-03,Technology,HP EliteBook Laptop,West,826.64,203.46,1,Consumer
CA-2025-100377,2024-01-03,Technology,Netgear Wireless Router,East,657.33,147.25,5,Corporate
CA-2024-100752,2024-01-04,Technology,Dell XPS 13 Laptop,West,2002.59,550.99,2,Corporate
CA-2025-100663,2024-01-04,Office Supplies,Heavy Duty 3-Ring Binder,East,24.01,4.74,2,Home Office
CA-2025-100894,2024-01-06,Technology,Dell XPS 13 Laptop,West,7683.35,1711.23,8,Home Office
CA-2024-100978,2024-01-06,Furniture,Standing Desk,North,1698.92,28.92,4,Home Office
CA-2024-100397,2024-01-07,Furniture,Ergonomic Office Chair,North,726.63,33.0,3,Home Office
CA-2025-101108,2024-01-07,Technology,HP EliteBook Laptop,North,4030.23,986.91,5,Home Office
CA-2024-100802,2024-01-07,Office Supplies,Multi-color Sticky Notes (5-pack),South,16.87,4.0,2,Consumer
CA-2024-100746,2024-01-08,Technology,Logitech MX Master 3 Mouse,East,106.44,34.35,1,Corporate
CA-2025-100947,2024-01-08,Office Supplies,Heavy Duty 3-Ring Binder,West,88.36,16.12,7,Home Office
CA-2025-100404,2024-01-09,Furniture,5-Shelf Bookshelf,South,149.81,-7.52,1,Home Office
CA-2025-100136,2024-01-10,Technology,Anker USB-C Hub,East,299.05,86.57,8,Home Office
CA-2024-100097,2024-01-10,Furniture,Solid Wood Coffee Table,East,1705.85,121.49,8,Corporate
CA-2024-100969,2024-01-11,Furniture,Solid Wood Coffee Table,North,840.26,66.18,4,Home Office
CA-2024-100578,2024-01-11,Technology,Anker USB-C Hub,South,211.61,66.19,5,Home Office
CA-2025-100987,2024-01-11,Furniture,Standing Desk,East,2976.12,57.74,8,Corporate
CA-2025-100416,2024-01-13,Furniture,Standing Desk,West,2235.79,49.89,6,Home Office
